Gaussian_Components,XRSA_R2,XRSB_R2
10,-0.026063011532328595,0.3538185268084515
11,-0.15879268300141702,0.2812319846269574
12,-0.30188670766195425,0.1085117024179123
13,-0.2687020593302172,0.19432929623094886
14,-0.2962742482880938,0.22550456478924574
15,-0.3538901064060247,0.16277864807769515
16,-0.41279077277183496,0.17962976812604492
17,-0.5265917084240903,0.09741759759589874
18,-0.49981216419118457,0.12074562149198853
19,-0.5113461272401294,0.14229807195685196
20,-0.5652191484269247,0.10070164415534744
